uai,nom_etablissement,nombre de lettre,_3eme_total,longitude,latitude,taux_de_reussite_g
0301098F,Collège les Oliviers,20,154,4.384729621593309,43.8339248310519,92.0
0342132H,Collège Lucie Aubrac,20,157,3.221770488548698,43.35200862277546,91.0
0340051W,Collège Fontcarrade,19,143,3.8541700721384133,43.60758772509732,74.0
0340109J,Collège les Garrigues,21,116,3.817089710403796,43.64264400980377,83.0
0340955D,Collège Simone Veil,19,155,3.847929799069605,43.618040359415836,92.0
0340996Y,Collège les Escholiers de la Mosson,35,155,3.821649566521723,43.633739063638174,90.0
0341278E,Collège Arthur Rimbaud,22,167,3.821589730549983,43.61667697617024,83.0
0660012E,Collège Joseph Sébastien Pons,29,161,2.8914941897288076,42.719725883546694,71.0
0660016J,Collège la Garrigole,20,97,2.868556885532539,42.69462404489727,92.0
0660017K,Collège Jean Macé,17,112,2.888789901455317,42.695304217879524,88.0
0660049V,Collège Jean Moulin,19,205,2.8994341863692275,42.696803654453234,89.0
0660051X,Collège Albert Camus,20,100,2.9089852068360944,42.69077386777217,84.0
0660522J,Collège Marcel Pagnol,21,164,2.8831061091102734,42.71239825182605,90.0
0090007J,Collège Victor Hugo,19,60,1.8527298202476252,42.9398982453581,69.0
0311687R,Collège Léon Blum,17,141,1.326339574596636,43.6171357742803,88.0
0311319R,Collège Louisa Paulin,21,179,1.334460201776182,43.470537081314674,85.0
0311112R,Collège Toulouse Lautrec,24,128,1.4407104510772466,43.629648172251805,85.0
0311265G,Collège Rosa PARKS,18,121,1.4366705597466425,43.64054087691382,97.0
0441727N,Collège Arthur Rimbaud,22,86,-2.0739896646570566,47.32193185592498,82.0
0440023L,Collège Chantenay,17,188,-1.5841005962595762,47.207274769794125,87.0
0440283U,Collège Libertaire Rutigliano,29,112,-1.5406446092020099,47.240168666267195,81.0
0440284V,Collège Stendhal,16,114,-1.569730300413915,47.26145073794815,74.0
0440286X,Collège Claude Debussy,22,64,-1.6056305962624915,47.20359196670048,80.0
0440536U,Collège Sophie Germain,22,74,-1.5361600679820884,47.214925766511755,79.0
0440055W,Collège Jean Rostand,20,162,-1.593531280363919,47.24594665769826,75.0
0440311Z,Collège Ernest Renan,20,113,-1.6136695405072288,47.214555238777194,82.0
0440314C,Collège Jean Moulin,19,175,-2.2233097759081866,47.28672944530537,88.0
0490060Z,Collège Jean Lurçat,19,62,-0.5268601217896858,47.48848490164326,95.0
0490921K,Collège François Rabelais,25,160,-0.5970005279921484,47.47471728066055,85.0
0491675E,Collège Joachim du Bellay,25,94,-0.8862803545470918,47.040265123704096,89.0
0490042E,Collège Pierre Mendès France,28,50,-0.07829002585335135,47.24537303840275,85.0
0720797A,Collège Joséphine Baker,23,82,0.22216511837908892,47.974683673036076,86.0
